1位	  926,745pt
2位	  856,368pt
3位	  618,255pt
9位	  419,614pt
10位	  369,738pt
11位	  358,254pt
19位	  246,678pt
20位	  229,156pt
21位	  227,174pt
29位	  194,940pt
30位	  194,362pt
149位	  57,305pt
150位	  57,120pt
499位	  20,020pt
500位	  19,966pt
999位	  10,355pt
1000位	  10,350pt
1990位	  5,400pt
2999位	  2,660pt
2999位	  2,660pt
2021/01/14 18:24	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  
