1位	  32,870,380pt
2位	  9,923,065pt
3位	  9,202,822pt
9位	  6,056,340pt
10位	  5,549,205pt
11位	  5,360,342pt
19位	  4,580,502pt
20位	  4,340,760pt
21位	  4,312,380pt
29位	  3,425,920pt
30位	  3,411,440pt
149位	  1,373,400pt
150位	  1,369,585pt
499位	  646,232pt
500位	  643,563pt
999位	  345,885pt
1000位	  345,411pt
1999位	  232,975pt
2000位	  232,767pt
2999位	  176,960pt
3000位	  176,912pt
4999位	  110,690pt
5000位	  110,664pt
7999位	  56,675pt
8000位	  56,670pt
2021/01/20 13:04	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-20T13:04:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
