1位	  856,368pt
2位	  829,545pt
3位	  618,255pt
10位	  365,693pt
11位	  358,014pt
19位	  245,510pt
20位	  229,156pt
21位	  225,254pt
29位	  190,237pt
30位	  185,417pt
149位	  55,905pt
150位	  55,655pt
499位	  19,695pt
499位	  19,695pt
999位	  10,210pt
1000位	  10,205pt
1990位	  5,270pt
1999位	  5,230pt
1999位	  5,230pt
3000位	  2,540pt
2021/01/14 18:22	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  
