1位	  13,374,240pt
2位	  6,732,425pt
3位	  5,761,600pt
9位	  3,621,222pt
10位	  3,410,452pt
11位	  3,404,200pt
19位	  2,857,254pt
20位	  2,525,435pt
21位	  2,346,280pt
29位	  1,803,735pt
30位	  1,737,075pt
149位	  642,420pt
150位	  635,405pt
499位	  249,313pt
500位	  248,930pt
999位	  140,190pt
1000位	  140,146pt
2000位	  84,617pt
2999位	  61,915pt
2999位	  61,915pt
3000位	61915pt(同順位補正)
4999位	  37,450pt
5000位	  37,424pt
7989位	  17,400pt
7989位	  17,400pt
8000位	17370pt(同順位補正)
2021/01/16 17:13	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-16T17:13:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
