1位	  40,219,720pt
2位	  11,635,222pt
3位	  10,501,165pt
9位	  7,504,012pt
10位	  7,117,200pt
11位	  6,588,410pt
19位	  5,640,000pt
20位	  5,531,800pt
21位	  5,177,880pt
29位	  4,256,930pt
30位	  4,097,240pt
149位	  1,886,242pt
150位	  1,875,715pt
499位	  843,668pt
500位	  840,500pt
999位	  442,263pt
1000位	  441,925pt
1999位	  290,995pt
2000位	  290,940pt
2999位	  226,904pt
3000位	  226,867pt
4999位	  143,505pt
5000位	  143,460pt
7999位	  74,465pt
8000位	  74,450pt
2021/01/22 00:02	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-22T00:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
