1位	  10,309,920pt
2位	  6,007,705pt
3位	  5,189,680pt
9位	  3,311,965pt
10位	  3,227,042pt
11位	  2,924,360pt
19位	  1,923,600pt
20位	  1,807,745pt
21位	  1,798,206pt
29位	  1,388,405pt
30位	  1,351,265pt
149位	  493,894pt
150位	  490,270pt
499位	  179,800pt
500位	  179,371pt
999位	  102,310pt
1000位	  102,263pt
1999位	  58,990pt
2000位	  58,965pt
2999位	  42,735pt
3000位	  42,715pt
4990位	  25,260pt
4990位	  25,260pt
4999位	  25,220pt
4999位	  25,220pt
5000位	25220pt(同順位補正)
7999位	  12,330pt
7999位	  12,330pt
8000位	12330pt(同順位補正)
2021/01/16 00:00	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-16T00:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
