1位	  985,065pt
2位	  856,368pt
3位	  618,255pt
9位	  419,614pt
10位	  371,738pt
11位	  358,254pt
19位	  246,678pt
20位	  235,320pt
21位	  229,156pt
29位	  198,637pt
30位	  194,362pt
149位	  57,930pt
150位	  57,830pt
499位	  20,320pt
500位	  20,310pt
999位	  10,440pt
999位	  10,440pt
2000位	  5,420pt
2989位	  2,730pt
2989位	  2,730pt
2989位	  2,730pt
2989位	  2,730pt
2989位	  2,730pt
2989位	  2,730pt
2989位	  2,730pt
2999位	  2,710pt
3000位	  2,700pt
2021/01/14 18:25	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  
