1位	  14,757,320pt
2位	  7,022,485pt
3位	  5,761,600pt
9位	  3,623,922pt
10位	  3,512,752pt
11位	  3,490,440pt
19位	  2,921,125pt
20位	  2,629,445pt
21位	  2,627,620pt
29位	  1,865,160pt
30位	  1,864,418pt
149位	  697,602pt
150位	  691,590pt
499位	  272,410pt
500位	  271,566pt
999位	  154,829pt
1000位	  154,654pt
1999位	  92,396pt
2000位	  92,385pt
2999位	  68,743pt
3000位	  68,720pt
4990位	  41,750pt
5000位	41690pt(同順位補正)
7990位	  19,420pt
7999位	  19,375pt
8000位	  19,370pt
2021/01/16 21:34	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-16T21:34:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
