1位	  28,145,300pt
2位	  8,894,785pt
3位	  7,804,982pt
9位	  5,070,822pt
10位	  5,029,206pt
11位	  5,025,286pt
19位	  4,306,780pt
20位	  3,966,195pt
21位	  3,906,905pt
29位	  3,031,125pt
30位	  3,029,435pt
149位	  1,207,020pt
150位	  1,199,930pt
499位	  535,555pt
500位	  535,117pt
999位	  298,434pt
1000位	  298,398pt
1999位	  194,930pt
2000位	  194,760pt
2999位	  146,085pt
3000位	  146,030pt
4999位	  92,218pt
5000位	  92,141pt
7999位	  46,110pt
8000位	  46,095pt
2021/01/19 13:20	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-19T13:20:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
