1位	  25,069,460pt
2位	  8,529,145pt
3位	  7,400,642pt
9位	  4,931,942pt
10位	  4,845,180pt
11位	  4,842,102pt
19位	  4,118,045pt
20位	  3,966,195pt
21位	  3,906,905pt
29位	  3,020,725pt
30位	  2,809,420pt
149位	  1,109,980pt
150位	  1,108,326pt
499位	  489,848pt
500位	  489,483pt
999位	  275,524pt
1000位	  275,258pt
1999位	  176,014pt
2000位	  175,900pt
3000位	  132,195pt
4999位	  83,890pt
5000位	  83,887pt
7999位	  41,872pt
8000位	  41,870pt
2021/01/19 00:01	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-19T00:01:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
