1位	  10,277,220pt
2位	  5,251,705pt
3位	  5,189,680pt
9位	  3,017,622pt
10位	  2,906,587pt
11位	  2,885,075pt
19位	  1,703,487pt
20位	  1,680,635pt
21位	  1,679,275pt
29位	  1,314,285pt
30位	  1,311,190pt
149位	  463,635pt
150位	  459,597pt
499位	  161,003pt
500位	  160,930pt
999位	  93,607pt
1000位	  93,340pt
1999位	  53,275pt
2000位	  53,274pt
2999位	  38,400pt
2999位	  38,400pt
3000位	38400pt(同順位補正)
4990位	  22,220pt
4990位	  22,220pt
4990位	  22,220pt
4999位	  22,180pt
5000位	  22,175pt
7989位	  10,515pt
8000位	  10,475pt
2021/01/15 22:04	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-15T22:04:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
