1位	  4,860,000pt
2位	  3,365,345pt
3位	  3,315,480pt
9位	  1,533,950pt
10位	  1,437,125pt
11位	  1,424,800pt
19位	  949,485pt
20位	  934,065pt
21位	  915,930pt
29位	  685,655pt
30位	  658,620pt
149位	  216,240pt
150位	  215,428pt
499位	  74,254pt
500位	  74,250pt
999位	  38,269pt
1000位	  38,255pt
1990位	  18,844pt
1999位	  18,740pt
2000位	  18,730pt
3000位	  12,800pt
4989位	  7,600pt
4989位	  7,600pt
4989位	  7,600pt
4989位	  7,600pt
4989位	  7,600pt
4989位	  7,600pt
4989位	  7,600pt
5000位	7590pt(同順位補正)
8000位	  3,400pt
2021/01/14 23:18	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  
