1位	  8,248,360pt
2位	  7,311,020pt
3位	  6,955,626pt
9位	  4,837,011pt
10位	  4,545,420pt
11位	  4,501,400pt
19位	  3,167,930pt
20位	  3,053,115pt
21位	  3,027,590pt
29位	  2,662,278pt
30位	  2,623,316pt
149位	  1,085,090pt
150位	  1,081,165pt
499位	  450,791pt
500位	  450,278pt
999位	  286,380pt
1000位	  286,344pt
1999位	  196,272pt
2000位	  196,251pt
2999位	  150,695pt
3000位	  150,672pt
4999位	  100,795pt
5000位	  100,785pt
7999位	  57,042pt
8000位	  57,025pt
2021/03/12 17:59	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-12T17:59:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
