1位	  9,297,060pt
2位	  9,292,560pt
3位	  8,231,052pt
9位	  5,382,380pt
10位	  5,085,680pt
11位	  5,000,000pt
19位	  3,349,075pt
20位	  3,320,750pt
21位	  3,304,310pt
29位	  3,051,360pt
30位	  2,864,086pt
149位	  1,229,460pt
150位	  1,227,477pt
499位	  554,451pt
500位	  553,680pt
999位	  353,298pt
1000位	  353,282pt
1999位	  248,909pt
2000位	  248,830pt
2999位	  197,344pt
3000位	  197,290pt
4999位	  131,165pt
5000位	  131,160pt
7999位	  73,685pt
8000位	  73,680pt
2021/03/13 21:54	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-13T21:54:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
