1位	  9,715,740pt
2位	  9,322,660pt
3位	  8,966,028pt
9位	  5,762,620pt
10位	  5,406,680pt
11位	  5,087,680pt
19位	  3,423,335pt
20位	  3,410,990pt
21位	  3,320,750pt
29位	  3,066,945pt
30位	  2,929,693pt
149位	  1,263,430pt
150位	  1,258,300pt
499位	  581,054pt
500位	  581,048pt
999位	  368,626pt
1000位	  368,325pt
1999位	  260,120pt
2000位	  260,090pt
2999位	  207,645pt
3000位	  207,466pt
4999位	  138,493pt
5000位	  138,486pt
7999位	  78,302pt
8000位	  78,285pt
2021/03/14 02:07	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-14T02:07:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
