1位	  9,297,060pt
2位	  9,048,360pt
3位	  8,110,524pt
9位	  5,373,980pt
10位	  5,081,880pt
11位	  5,000,000pt
19位	  3,320,750pt
20位	  3,297,325pt
21位	  3,296,710pt
29位	  2,878,655pt
30位	  2,864,086pt
149位	  1,195,632pt
150位	  1,193,770pt
499位	  533,768pt
500位	  533,280pt
999位	  341,339pt
1000位	  341,330pt
1999位	  239,384pt
2000位	  239,360pt
2999位	  188,177pt
3000位	  188,060pt
4999位	  125,380pt
5000位	  125,370pt
7990位	  70,415pt
8000位	  70,310pt
2021/03/13 17:11	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-13T17:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
