1位	  1,835,417,759pt
2位	  700,504,473pt
3位	  460,865,647pt
9位	  388,014,599pt
10位	  379,970,105pt
11位	  378,827,314pt
19位	  310,023,951pt
20位	  297,642,452pt
99位	  102,278,717pt
100位	  101,634,522pt
499位	  17,754,414pt
500位	  17,639,927pt
999位	  8,212,981pt
1000位	  8,209,056pt
1999位	  2,581,483pt
2000位	  2,569,694pt
2999位	  1,005,203pt
3000位	  1,003,866pt
4999位	  609,754pt
5000位	  609,661pt
10000位	80000pt(同順位補正)
2021/07/15 18:22	興行成績 :  		ISO8601:2021-07-15T18:22:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
