1位	  138,041,644pt
2位	  107,486,022pt
3位	  88,050,302pt
9位	  45,291,629pt
10位	  45,172,372pt
11位	  45,078,319pt
19位	  34,482,894pt
20位	  33,506,279pt
99位	  11,402,678pt
100位	  11,229,739pt
499位	  996,737pt
500位	  991,606pt
999位	  461,164pt
1000位	  460,673pt
2000位	64000pt(同順位補正)
2999位	  33,100pt
3000位	  33,000pt
5000位	null(同順位補正)
10000位	null(同順位補正)
2021/07/14 18:47	興行成績 :  		ISO8601:2021-07-14T18:47:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
