1位	  186,861,380pt
2位	  139,049,040pt
3位	  109,523,080pt
9位	  80,443,870pt
10位	  78,311,540pt
11位	  77,917,050pt
19位	  64,594,800pt
20位	  60,715,280pt
99位	  27,936,560pt
100位	  27,787,880pt
499位	  6,983,340pt
500位	  6,956,740pt
999位	  2,580,100pt
1000位	  2,551,360pt
1999位	  434,120pt
2000位	  433,800pt
2989位	  155,640pt
3000位	  154,960pt
5000位	1100pt(同順位補正)
10000位	null(同順位補正)
2021/07/08 19:26	Star Festivalﾎﾟｲﾝﾄ :  		ISO8601:2021-07-08T19:26:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
