1位	  6,474,772,400pt
2位	  5,967,795,420pt
3位	  4,766,744,580pt
10位	  2,463,719,610pt
11位	  2,053,685,680pt
20位	  756,778,520pt
100位	  355,561,440pt
500位	  94,565,730pt
1000位	  52,782,940pt
2000位	  27,197,530pt
3000位	  18,117,020pt
5000位	  9,203,980pt
10000位	  1,167,940pt
01/13 00:27	Hotel Utmostﾎﾟｲﾝﾄ :  
