1位	  7,600,560,400pt
2位	  6,526,014,550pt
3位	  5,651,276,750pt
10位	  3,311,482,800pt
11位	  3,044,409,900pt
20位	  985,384,190pt
100位	  604,296,550pt
500位	  136,865,640pt
1000位	  85,021,350pt
2000位	  40,602,080pt
3000位	  27,119,830pt
5000位	  14,432,310pt
10000位	  2,132,670pt
2021/01/14 11:33	Hotel Utmostﾎﾟｲﾝﾄ :  
