1位	  74,277pt
2位	  72,062pt
3位	  59,660pt
9位	  40,602pt
10位	  38,477pt
11位	  37,562pt
19位	  26,454pt
20位	  25,180pt
21位	  24,064pt
29位	  21,657pt
30位	  21,624pt
140位	  7,680pt
149位	  7,480pt
150位	  7,470pt
489位	  3,450pt
489位	  3,450pt
499位	  3,390pt
500位	  3,380pt
979位	  1,150pt
979位	  1,150pt
979位	  1,150pt
1000位	1100pt(同順位補正)
2000位	null(同順位補正)
3000位	null(同順位補正)
5000位	null(同順位補正)
8000位	null(同順位補正)
2021/01/31 17:11	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-31T17:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
