1位	  74,277pt
2位	  72,482pt
3位	  60,710pt
9位	  47,952pt
10位	  45,396pt
11位	  43,461pt
19位	  38,069pt
20位	  32,932pt
21位	  30,918pt
29位	  26,578pt
30位	  24,876pt
149位	  8,700pt
150位	  8,665pt
500位	  4,200pt
1000位	1650pt(同順位補正)
2000位	null(同順位補正)
3000位	null(同順位補正)
5000位	null(同順位補正)
8000位	null(同順位補正)
2021/01/31 17:13	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-31T17:13:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
