1位	  897,637pt
2位	  876,240pt
3位	  708,625pt
9位	  306,400pt
10位	  302,184pt
11位	  301,095pt
19位	  190,750pt
20位	  187,232pt
21位	  174,117pt
29位	  128,181pt
30位	  119,632pt
149位	  44,844pt
150位	  44,700pt
499位	  17,520pt
500位	  17,464pt
999位	  9,395pt
1000位	  9,380pt
1990位	  5,100pt
2000位	5080pt(同順位補正)
2999位	  2,400pt
2999位	  2,400pt
3000位	2400pt(同順位補正)
5000位	null(同順位補正)
8000位	null(同順位補正)
2021/01/31 18:02	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-31T18:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
