1位	  307,690,780pt
2位	  221,267,640pt
3位	  208,765,170pt
9位	  85,561,620pt
10位	  81,844,170pt
11位	  67,348,810pt
19位	  50,395,020pt
20位	  48,445,230pt
99位	  22,793,910pt
100位	  22,756,950pt
499位	  5,584,720pt
500位	  5,575,940pt
999位	  2,770,260pt
1000位	  2,766,870pt
1999位	  1,299,510pt
2000位	  1,299,280pt
2999位	  619,210pt
3000位	  619,020pt
4990位	  273,190pt
4999位	  272,740pt
5000位	  272,730pt
9999位	  24,150pt
10000位	  24,030pt
2021/02/23 17:00	PANDA LIVEﾎﾟｲﾝﾄ :  		ISO8601:2021-02-23T17:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
