1位	  14,201,901,240pt
2位	  12,700,000,110pt
3位	  8,668,749,070pt
9位	  6,400,309,910pt
10位	  6,224,049,340pt
11位	  5,769,901,420pt
19位	  2,393,314,450pt
20位	  2,375,440,450pt
99位	  1,969,971,580pt
100位	  1,959,713,070pt
499位	  300,117,980pt
500位	  299,473,730pt
999位	  253,208,550pt
1000位	  253,076,720pt
1999位	  65,270,110pt
2000位	  65,261,650pt
2999位	  44,372,730pt
3000位	  44,364,630pt
4999位	  21,968,290pt
5000位	  21,964,960pt
9999位	  4,181,430pt
10000位	  4,176,110pt
2021/04/25 18:07	海のｷﾞｬﾝｸﾞﾎﾟｲﾝﾄ :  		ISO8601:2021-04-25T18:07:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
