1位	  13,205,591,770pt
2位	  11,827,283,860pt
3位	  8,007,593,530pt
9位	  5,804,739,190pt
10位	  5,791,877,750pt
11位	  5,687,341,810pt
19位	  2,192,647,000pt
20位	  2,137,045,410pt
99位	  1,485,011,790pt
100位	  1,481,238,550pt
499位	  250,005,410pt
500位	  249,844,250pt
999位	  170,293,840pt
1000位	  170,284,040pt
1999位	  56,231,820pt
2000位	  56,218,990pt
2999位	  34,710,070pt
3000位	  34,686,880pt
4999位	  17,482,680pt
5000位	  17,478,440pt
9999位	  3,043,750pt
10000位	  3,043,330pt
2021/04/24 20:33	海のｷﾞｬﾝｸﾞﾎﾟｲﾝﾄ :  		ISO8601:2021-04-24T20:33:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
