1位	  2,309,001,670pt
2位	  722,075,190pt
3位	  702,017,400pt
9位	  243,479,940pt
10位	  223,844,990pt
11位	  221,980,070pt
19位	  110,409,970pt
20位	  107,308,990pt
99位	  37,288,460pt
100位	  37,180,360pt
499位	  13,832,900pt
500位	  13,811,850pt
999位	  8,802,330pt
1000位	  8,802,190pt
1999位	  5,113,500pt
2000位	  5,113,180pt
2999位	  3,473,900pt
3000位	  3,469,280pt
4999位	  1,747,130pt
5000位	  1,746,840pt
9999位	  344,820pt
10000位	  344,740pt
2021/09/04 18:26	WHITE-H HACKERﾎﾟｲﾝﾄ :  		ISO8601:2021-09-04T18:26:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
