1位	  24,660,360pt
2位	  18,755,350pt
3位	  17,846,830pt
9位	  14,616,250pt
10位	  13,030,780pt
11位	  11,829,850pt
19位	  9,119,300pt
20位	  8,546,640pt
99位	  3,302,800pt
100位	  3,245,990pt
499位	  636,030pt
500位	  634,630pt
999位	  290,280pt
1000位	  290,230pt
1999位	  112,180pt
2000位	  112,010pt
2999位	  51,450pt
3000位	  51,390pt
4999位	  3,150pt
4999位	  3,150pt
5000位	3150pt(同順位補正)
10000位	null(同順位補正)
2021/08/31 19:45	WHITE-H HACKERﾎﾟｲﾝﾄ :  		ISO8601:2021-08-31T19:45:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
