1位	  2,888,711,650pt
2位	  902,784,060pt
3位	  890,799,180pt
9位	  300,546,750pt
10位	  291,167,650pt
11位	  268,751,570pt
19位	  133,815,370pt
20位	  131,734,370pt
99位	  43,936,180pt
100位	  43,644,470pt
499位	  16,766,000pt
500位	  16,750,270pt
999位	  10,995,190pt
1000位	  10,990,820pt
1999位	  6,484,640pt
2000位	  6,481,160pt
2999位	  4,513,740pt
3000位	  4,513,580pt
4999位	  2,350,720pt
5000位	  2,347,730pt
9999位	  479,820pt
10000位	  479,640pt
2021/09/05 21:46	WHITE-H HACKERﾎﾟｲﾝﾄ :  		ISO8601:2021-09-05T21:46:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
