1位	  1,665,107,640pt
2位	  1,239,793,470pt
3位	  600,537,120pt
9位	  347,485,880pt
10位	  310,103,800pt
11位	  238,306,020pt
19位	  206,937,370pt
20位	  203,875,270pt
99位	  71,111,130pt
100位	  71,022,510pt
499位	  26,484,820pt
500位	  26,445,520pt
999位	  17,685,700pt
1000位	  17,684,400pt
1999位	  10,332,190pt
2000位	  10,326,400pt
2999位	  7,207,620pt
3000位	  7,207,550pt
4999位	  3,964,340pt
5000位	  3,962,100pt
9999位	  940,270pt
10000位	  939,980pt
2021/05/07 17:29	Mﾌｪｽ2021ﾎﾟｲﾝﾄ :  		ISO8601:2021-05-07T17:29:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
