1位	  1,056,045,800pt
2位	  950,927,260pt
3位	  357,170,070pt
9位	  156,637,500pt
10位	  155,785,840pt
11位	  144,609,510pt
19位	  103,513,610pt
20位	  96,249,050pt
99位	  36,122,830pt
100位	  35,997,890pt
499位	  14,155,450pt
500位	  14,146,570pt
999位	  9,512,500pt
1000位	  9,511,990pt
1999位	  5,579,940pt
2000位	  5,575,820pt
2999位	  3,960,270pt
3000位	  3,959,080pt
4999位	  2,128,610pt
5000位	  2,128,150pt
9999位	  466,640pt
10000位	  466,630pt
2021/05/04 18:19	Mﾌｪｽ2021ﾎﾟｲﾝﾄ :  		ISO8601:2021-05-04T18:19:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
