1位	  1,106,249,240pt
2位	  998,077,230pt
3位	  379,463,430pt
9位	  165,555,020pt
10位	  162,580,510pt
11位	  151,881,130pt
19位	  110,500,780pt
20位	  100,461,240pt
99位	  38,024,170pt
100位	  37,699,100pt
499位	  14,896,120pt
500位	  14,881,040pt
999位	  10,002,490pt
1000位	  9,988,870pt
1999位	  5,921,250pt
2000位	  5,920,990pt
2999位	  4,164,330pt
3000位	  4,161,750pt
4999位	  2,241,550pt
5000位	  2,241,110pt
9999位	  502,430pt
10000位	  502,400pt
2021/05/04 22:18	Mﾌｪｽ2021ﾎﾟｲﾝﾄ :  		ISO8601:2021-05-04T22:18:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
