1位	  2,554,987,050pt
2位	  2,344,012,940pt
3位	  2,128,930,970pt
9位	  1,922,149,790pt
10位	  1,778,081,400pt
11位	  1,697,128,530pt
19位	  816,667,650pt
20位	  814,077,530pt
99位	  345,959,410pt
100位	  345,054,340pt
499位	  84,407,080pt
500位	  84,395,590pt
999位	  42,572,510pt
1000位	  42,440,930pt
1999位	  18,278,500pt
2000位	  18,269,870pt
2999位	  11,537,750pt
3000位	  11,526,070pt
4999位	  5,479,300pt
5000位	  5,478,350pt
9999位	  718,020pt
10000位	  717,820pt
2021/02/20 00:00	Suit Collectionﾎﾟｲﾝﾄ :  		ISO8601:2021-02-20T00:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
