1位	  2,522,458,650pt
2位	  2,246,849,920pt
3位	  2,121,334,630pt
9位	  1,830,595,230pt
10位	  1,668,945,860pt
11位	  1,589,071,310pt
19位	  793,151,910pt
20位	  788,420,850pt
99位	  325,244,330pt
100位	  325,069,970pt
499位	  80,965,590pt
500位	  80,869,430pt
999位	  41,042,230pt
1000位	  40,951,840pt
1999位	  17,718,050pt
2000位	  17,673,140pt
2999位	  11,012,460pt
3000位	  10,991,710pt
4999位	  5,190,250pt
5000位	  5,189,480pt
9999位	  664,930pt
10000位	  664,840pt
2021/02/19 22:22	Suit Collectionﾎﾟｲﾝﾄ :  		ISO8601:2021-02-19T22:22:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
