1位	  371,651,740pt
2位	  363,402,180pt
3位	  334,897,580pt
9位	  238,147,000pt
10位	  228,251,210pt
11位	  226,547,820pt
19位	  186,756,110pt
20位	  181,743,980pt
99位	  77,024,580pt
100位	  76,878,870pt
499位	  20,271,880pt
500位	  20,242,000pt
999位	  9,665,620pt
1000位	  9,664,640pt
1999位	  3,552,290pt
2000位	  3,550,230pt
2999位	  1,570,810pt
3000位	  1,569,460pt
4999位	  439,960pt
5000位	  439,720pt
10000位	8580pt(同順位補正)
2021/02/17 00:11	Suit Collectionﾎﾟｲﾝﾄ :  		ISO8601:2021-02-17T00:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
