1位	  105,565,960pt
2位	  98,827,420pt
3位	  81,232,380pt
9位	  62,531,390pt
10位	  61,812,260pt
11位	  57,187,270pt
19位	  42,994,340pt
20位	  42,992,260pt
99位	  22,581,860pt
100位	  22,552,310pt
499位	  5,473,370pt
500位	  5,462,780pt
999位	  1,744,700pt
1000位	  1,744,060pt
1999位	  310,760pt
2000位	  310,640pt
3000位	  115,540pt
5000位	null(同順位補正)
10000位	null(同順位補正)
2021/06/16 19:06	Rainy Nightﾎﾟｲﾝﾄ :  		ISO8601:2021-06-16T19:06:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
