1位	  1,176,962,260pt
2位	  996,529,980pt
3位	  880,019,800pt
9位	  466,939,070pt
10位	  456,168,760pt
11位	  396,079,810pt
19位	  295,398,950pt
20位	  293,009,360pt
99位	  121,657,100pt
100位	  118,332,930pt
499位	  33,229,640pt
500位	  33,167,140pt
999位	  18,374,710pt
1000位	  18,339,680pt
1999位	  8,530,750pt
2000位	  8,527,100pt
2999位	  4,891,000pt
3000位	  4,889,950pt
4999位	  1,713,350pt
5000位	  1,713,090pt
9999位	  126,320pt
10000位	  126,310pt
2021/06/17 18:31	Rainy Nightﾎﾟｲﾝﾄ :  		ISO8601:2021-06-17T18:31:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
