1位	  16,941,330,110pt
2位	  10,339,741,010pt
3位	  8,126,807,890pt
9位	  5,033,776,530pt
10位	  4,822,648,410pt
11位	  4,481,026,000pt
19位	  1,421,993,500pt
20位	  1,419,414,520pt
99位	  829,290,730pt
100位	  828,556,730pt
499位	  205,742,330pt
500位	  205,690,490pt
999位	  124,476,270pt
1000位	  124,468,310pt
1999位	  50,321,900pt
2000位	  50,316,500pt
2999位	  32,906,460pt
3000位	  32,902,240pt
4999位	  16,793,510pt
5000位	  16,785,300pt
9999位	  2,402,680pt
10000位	  2,401,780pt
2021/01/31 00:02	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-31T00:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
