1位	  16,941,330,110pt
2位	  10,339,741,010pt
3位	  8,126,807,890pt
9位	  5,027,575,260pt
10位	  4,807,354,230pt
11位	  4,481,026,000pt
19位	  1,421,993,500pt
20位	  1,416,192,220pt
99位	  828,556,730pt
100位	  811,634,050pt
499位	  205,466,370pt
500位	  205,422,360pt
999位	  123,269,650pt
1000位	  123,198,730pt
1999位	  50,164,920pt
2000位	  50,159,980pt
2999位	  32,640,300pt
3000位	  32,632,520pt
4999位	  16,703,290pt
5000位	  16,698,490pt
9999位	  2,356,510pt
10000位	  2,355,500pt
2021/01/30 23:37	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-30T23:37:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
