1位	  11,730,546,640pt
2位	  7,980,860,220pt
3位	  6,428,905,310pt
9位	  3,247,394,000pt
10位	  2,961,410,830pt
11位	  2,357,671,810pt
19位	  1,110,476,310pt
20位	  1,109,635,060pt
99位	  517,013,830pt
100位	  515,132,570pt
499位	  149,237,190pt
500位	  148,888,090pt
999位	  80,916,000pt
1000位	  80,696,560pt
1999位	  34,825,220pt
2000位	  34,798,170pt
2999位	  22,789,000pt
3000位	  22,785,010pt
4999位	  11,123,550pt
5000位	  11,121,760pt
9990位	  1,272,500pt
9999位	  1,264,160pt
10000位	  1,264,060pt
2021/01/28 13:04	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-28T13:04:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
