1位	  14,573,666,520pt
2位	  10,173,011,560pt
3位	  7,366,373,990pt
9位	  4,023,449,590pt
10位	  3,643,627,770pt
11位	  3,442,352,030pt
19位	  1,285,201,200pt
20位	  1,255,738,580pt
99位	  661,122,690pt
100位	  657,765,290pt
499位	  173,555,170pt
500位	  173,504,300pt
999位	  99,636,370pt
1000位	  99,456,810pt
1999位	  42,062,990pt
2000位	  42,050,610pt
2999位	  27,187,350pt
3000位	  27,182,600pt
4999位	  13,931,300pt
5000位	  13,929,290pt
9999位	  1,828,140pt
10000位	  1,826,910pt
2021/01/29 22:54	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-29T22:54:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
