1位	  2,504,566,910pt
2位	  1,424,088,410pt
3位	  1,183,005,370pt
9位	  577,279,830pt
10位	  575,029,810pt
11位	  487,730,180pt
19位	  312,586,650pt
20位	  311,362,830pt
99位	  123,540,020pt
100位	  121,939,620pt
499位	  37,096,900pt
500位	  37,054,620pt
999位	  19,007,950pt
1000位	  18,991,000pt
1999位	  7,740,490pt
2000位	  7,730,760pt
2999位	  3,751,920pt
3000位	  3,747,260pt
4999位	  960,380pt
5000位	  958,860pt
9970位	  55,660pt
9970位	  55,660pt
9999位	  55,550pt
9999位	  55,550pt
10000位	55550pt(同順位補正)
2021/01/23 13:07	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-23T13:07:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
