1位	  1,033,175,910pt
2位	  654,201,120pt
3位	  617,011,960pt
9位	  351,275,600pt
10位	  341,086,500pt
11位	  330,172,350pt
19位	  217,124,050pt
20位	  209,896,370pt
99位	  84,629,950pt
100位	  84,372,340pt
499位	  26,017,520pt
500位	  25,998,660pt
999位	  13,698,740pt
1000位	  13,693,170pt
1999位	  4,928,660pt
2000位	  4,914,840pt
2999位	  2,067,090pt
3000位	  2,065,280pt
4999位	  461,600pt
5000位	  461,450pt
9960位	  3,850pt
9960位	  3,850pt
9960位	  3,850pt
9960位	  3,850pt
9960位	  3,850pt
9999位	  1,360pt
10000位	  1,320pt
10000位	  1,320pt
2021/01/23 01:05	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-23T01:05:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
