1位	  18,000,675,690pt
2位	  10,358,723,640pt
3位	  8,504,202,080pt
10位	  5,401,703,550pt
11位	  4,846,056,400pt
20位	  1,601,265,730pt
100位	  1,062,196,530pt
500位	  241,481,430pt
1000位	  183,387,380pt
2000位	  58,087,600pt
3000位	  40,998,050pt
5000位	  20,797,470pt
10000位	  3,276,680pt
2021/01/31 18:03	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  
