1位	  17,933,070,350pt
2位	  10,358,723,640pt
3位	  8,440,300,820pt
9位	  5,360,725,540pt
10位	  5,320,261,630pt
11位	  4,800,023,220pt
19位	  1,569,618,510pt
20位	  1,550,463,060pt
99位	  1,046,704,890pt
100位	  1,015,066,090pt
499位	  232,160,000pt
500位	  231,931,950pt
999位	  161,690,000pt
1000位	  161,383,370pt
1999位	  55,591,590pt
2000位	  55,569,590pt
2999位	  38,421,400pt
3000位	  38,410,060pt
4999位	  19,776,800pt
5000位	  19,763,540pt
9999位	  3,104,820pt
10000位	  3,103,210pt
2021/01/31 12:02	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-31T12:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
