1位	  4,128,190,823pt
2位	  3,042,255,038pt
3位	  2,847,519,051pt
9位	  1,404,066,860pt
10位	  1,381,309,266pt
11位	  1,292,828,067pt
19位	  779,195,123pt
20位	  748,386,619pt
99位	  270,913,590pt
100位	  268,075,011pt
499位	  58,747,140pt
500位	  58,730,014pt
999位	  32,576,408pt
1000位	  32,534,664pt
1999位	  15,690,052pt
2000位	  15,685,330pt
2999位	  9,433,665pt
3000位	  9,432,328pt
4999位	  3,240,688pt
5000位	  3,240,109pt
9999位	  443,995pt
10000位	  443,936pt
2021/03/05 12:00	興行成績 :  		ISO8601:2021-03-05T12:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
