1位	  252,544,405pt
2位	  208,447,461pt
3位	  205,742,772pt
9位	  106,827,410pt
10位	  98,541,221pt
11位	  75,208,571pt
19位	  59,874,538pt
20位	  59,414,554pt
99位	  19,050,560pt
100位	  18,853,467pt
499位	  1,990,521pt
500位	  1,978,000pt
999位	  592,247pt
1000位	  591,899pt
1999位	  95,060pt
2000位	  95,000pt
2990位	  43,500pt
2990位	  43,500pt
2990位	  43,500pt
2990位	  43,500pt
2990位	  43,500pt
2990位	  43,500pt
2990位	  43,500pt
2990位	  43,500pt
2990位	  43,500pt
3000位	  43,337pt
5000位	16000pt(同順位補正)
10000位	null(同順位補正)
2021/08/24 19:19	興行成績 :  		ISO8601:2021-08-24T19:19:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
