1位	  1,205,008,270pt
2位	  991,539,440pt
3位	  510,231,150pt
9位	  269,240,180pt
10位	  259,237,260pt
11位	  243,418,460pt
19位	  116,532,690pt
20位	  103,128,180pt
99位	  46,742,920pt
100位	  45,994,640pt
499位	  17,003,810pt
500位	  16,984,020pt
999位	  11,241,630pt
1000位	  11,239,610pt
1999位	  6,423,460pt
2000位	  6,420,630pt
2999位	  4,393,560pt
3000位	  4,388,820pt
4999位	  2,230,890pt
5000位	  2,230,290pt
9999位	  440,420pt
9999位	  440,420pt
10000位	440420pt(同順位補正)
2021/04/06 09:42	お花見ﾎﾟｲﾝﾄ :  		ISO8601:2021-04-06T09:42:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
