1位	  1,109,436,070pt
2位	  919,247,550pt
3位	  470,409,970pt
9位	  240,262,540pt
10位	  227,780,160pt
11位	  190,041,200pt
19位	  110,197,300pt
20位	  102,537,510pt
99位	  42,431,720pt
100位	  42,404,250pt
499位	  15,683,630pt
500位	  15,633,820pt
999位	  10,119,160pt
1000位	  10,118,290pt
1999位	  5,797,610pt
2000位	  5,795,740pt
2999位	  3,977,080pt
3000位	  3,974,640pt
4999位	  1,984,470pt
5000位	  1,984,130pt
9999位	  384,160pt
10000位	  383,920pt
2021/04/05 21:23	お花見ﾎﾟｲﾝﾄ :  		ISO8601:2021-04-05T21:23:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
