1位	  807,618,884pt
2位	  782,717,880pt
3位	  701,752,524pt
9位	  421,532,709pt
10位	  418,429,109pt
11位	  417,311,625pt
19位	  327,147,326pt
20位	  318,434,967pt
99位	  181,717,551pt
100位	  181,308,325pt
499位	  55,633,041pt
500位	  55,519,112pt
999位	  33,053,287pt
1000位	  32,922,963pt
1999位	  17,027,746pt
2000位	  17,014,454pt
2999位	  10,400,414pt
3000位	  10,400,128pt
4999位	  4,164,714pt
5000位	  4,158,822pt
9999位	  760,392pt
10000位	  760,224pt
2021/02/09 18:53	興行成績 :  		ISO8601:2021-02-09T18:53:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
