1位	  517,735,242pt
2位	  513,628,800pt
3位	  495,467,869pt
9位	  378,914,962pt
10位	  368,947,631pt
11位	  354,991,820pt
19位	  252,884,825pt
20位	  249,226,911pt
99位	  152,462,164pt
100位	  152,081,210pt
499位	  40,867,497pt
500位	  40,778,184pt
999位	  23,624,483pt
1000位	  23,617,624pt
1999位	  11,123,581pt
2000位	  11,118,788pt
2999位	  6,126,853pt
3000位	  6,126,538pt
4999位	  2,005,876pt
5000位	  2,004,738pt
9999位	  475,547pt
10000位	  475,426pt
2021/02/08 21:47	興行成績 :  		ISO8601:2021-02-08T21:47:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
