1位	  1,427,822,470pt
2位	  970,973,500pt
3位	  891,204,100pt
9位	  458,754,010pt
10位	  449,488,710pt
11位	  408,537,440pt
19位	  309,319,320pt
20位	  305,302,200pt
99位	  123,777,980pt
100位	  122,568,170pt
499位	  38,786,670pt
500位	  38,754,620pt
999位	  21,730,310pt
1000位	  21,708,120pt
1999位	  10,228,000pt
2000位	  10,219,530pt
2999位	  6,113,120pt
3000位	  6,112,660pt
4999位	  2,439,550pt
5000位	  2,439,510pt
9999位	  232,120pt
10000位	  232,010pt
2021/05/10 23:18	ｺﾞﾝﾄﾞﾘｴｰﾚﾎﾟｲﾝﾄ :  		ISO8601:2021-05-10T23:18:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
