1位	  1,203,493,100pt
2位	  850,969,580pt
3位	  686,697,920pt
9位	  377,038,010pt
10位	  350,434,070pt
11位	  341,444,520pt
19位	  248,489,690pt
20位	  242,498,470pt
99位	  105,418,650pt
100位	  105,143,210pt
499位	  32,633,730pt
500位	  32,619,020pt
999位	  18,414,270pt
1000位	  18,391,280pt
1999位	  8,586,550pt
2000位	  8,567,770pt
2999位	  4,839,600pt
3000位	  4,838,210pt
4999位	  1,811,480pt
5000位	  1,811,310pt
9999位	  139,120pt
10000位	  139,100pt
2021/05/10 19:19	ｺﾞﾝﾄﾞﾘｴｰﾚﾎﾟｲﾝﾄ :  		ISO8601:2021-05-10T19:19:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
